"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","10","311-0.0JRCT-ND","RC0402JR-070RL","RES SMD 0 OHM JUMPER 1/16W 0402","","0","0.01400","0.14"
"2","10","311-1006-1-ND","CC0402CRNPO9BN2R0","CAP CER 2PF 50V C0G/NPO 0402","","0","0.03100","0.31"
"3","10","311-1007-1-ND","CC0402CRNPO9BN3R0","CAP CER 3PF 50V C0G/NPO 0402","","0","0.03000","0.30"
"4","10","311-1010-1-ND","CC0402CRNPO9BN5R0","CAP CER 5PF 50V C0G/NPO 0402","","0","0.06000","0.60"
"5","10","490-6186-1-ND","GRM1555C1H100FA01D","CAP CER 10PF 50V C0G/NP0 0402","","0","0.05600","0.56"
"6","10","311-3714-1-ND","CC0402CRNPO9BN6R0","CAP CER 6PF 50V NPO 0402","","0","0.03000","0.30"
"7","10","490-6254-1-ND","GRM1555C1H7R0BA01D","CAP CER 7PF 50V C0G/NP0 0402","","0","0.05600","0.56"
"8","10","311-1636-1-ND","CC0402CRNPO9BN9R0","CAP CER 9PF 50V C0G/NPO 0402","","0","0.03000","0.30"
"9","10","445-174057-1-ND","MLG1005S2N0CTD25","FIXED IND 2NH 900MA 150 MOHM SMD","","0","0.08500","0.85"
"10","10","445-16307-1-ND","MLG1005S4N3STD25","FIXED IND 4.3NH 700MA 200 MOHM","","0","0.07800","0.78"
"11","10","490-6573-1-ND","LQG15HS5N1S02D","FIXED IND 5.1NH 650MA 200 MOHM","","0","0.06100","0.61"
"12","10","490-5959-1-ND","GRM1555C1HR50CA01D","CAP CER 0.5PF 50V C0G/NP0 0402","","0","0.03500","0.35"
"13","10","490-3199-1-ND","GRM1555C1H1R0CA01D","CAP CER 1PF 50V C0G/NP0 0402","","0","0.03500","0.35"
"14","10","490-3098-1-ND","GJM1555C1H4R0CB01D","CAP CER 4PF 50V C0G/NP0 0402","","0","0.08200","0.82"
"15","10","311-3328-1-ND","CC0402CRNPO9BN8R0","CAP CER 8PF 50V NPO 0402","","0","0.03000","0.30"
"16","10","311-1015-1-ND","CC0402JRNPO9BN110","CAP CER 11PF 50V C0G/NPO 0402","","0","0.07100","0.71"
"17","10","490-6197-1-ND","GRM1555C1H120GA01D","CAP CER 12PF 50V C0G/NP0 0402","","0","0.05600","0.56"
"18","10","311-3754-1-ND","CC0402JRNPO9BN130","CAP CER 13PF 50V NPO 0402","","0","0.03400","0.34"
"19","10","490-6201-1-ND","GRM1555C1H150GA01D","CAP CER 15PF 50V C0G/NP0 0402","","0","0.05600","0.56"
"20","10","490-11377-1-ND","GRM1555C1H160GA01D","CAP CER 16PF 50V C0G/NP0 0402","","0","0.08600","0.86"
"21","10","490-6203-1-ND","GRM1555C1H180FA01D","CAP CER 18PF 50V C0G/NP0 0402","","0","0.06700","0.67"
"22","10","490-6217-1-ND","GRM1555C1H200GA01D","CAP CER 20PF 50V C0G/NP0 0402","","0","0.08600","0.86"
"23","10","445-16235-1-ND","MLG1005S0N5BT000","FIXED IND 0.5NH 1A 100 MOHM SMD","","0","0.06000","0.60"
"24","10","445-16237-1-ND","MLG1005S0N6BT000","FIXED IND 0.6NH 1A 100 MOHM SMD","","0","0.06000","0.60"
"25","10","445-16240-1-ND","MLG1005S0N7BTD25","FIXED IND 0.7NH 1A 100 MOHM SMD","","0","0.09000","0.90"
"26","10","445-16242-1-ND","MLG1005S0N8BTD25","FIXED IND 0.8NH 1A 100 MOHM SMD","","0","0.09000","0.90"
"27","10","445-16244-1-ND","MLG1005S0N9BTD25","FIXED IND 0.9NH 1A 100 MOHM SMD","","0","0.09000","0.90"
"28","10","445-16252-1-ND","MLG1005S1N0BT000","FIXED IND 1NH 1A 100 MOHM SMD","","0","0.06000","0.60"
"29","10","445-16256-1-ND","MLG1005S1N1BTD25","FIXED IND 1.1NH 1A 100 MOHM SMD","","0","0.09000","0.90"
"30","10","445-16258-1-ND","MLG1005S1N2BT000","FIXED IND 1.2NH 1A 100 MOHM SMD","","0","0.06000","0.60"
"31","10","445-16261-1-ND","MLG1005S1N3BT000","FIXED IND 1.3NH 1A 100 MOHM SMD","","0","0.06000","0.60"
"32","10","445-16265-1-ND","MLG1005S1N5BTD25","FIXED IND 1.5NH 1A 100 MOHM SMD","","0","0.09000","0.90"
